No;Merek;Famili;Tipe;Daya (watt);Kapasitas Pendinginan (BTU/h);Nilai Efisiensi (EER/CSPF);Rating Bintang (1-5);Konsumsi Energi Tahunan (kWh);Biaya Listrik Tahunan (Rp);Baseline;;;;
1;AC MU;GTS09IW1 / GTS09IW1;Inverter;661.9;9013.38;5.37;5;1436.439121; Rp2,074,218.09 ;CSPF;;;;
2;AC MU;GTS12IW1 / GTS12IW1;Inverter;1065.6;11396.1;5.19;5;1879.155514; Rp2,713,500.56 ;CSPF;;;;
3;AC MU;GTS18IW1 / GTS18IW1;Inverter;1860.9;20161.05;5.53;5;3120.052087; Rp4,505,355.21 ;CSPF;;;;
4;ACERPURE;SACD 535-09W / OACD 535-09W;Inverter;870.6;9000;4.13;3;1864.94611; Rp2,692,982.18 ;CSPF;;;;
5;ACERPURE;SACD 535-18W / OACD 535-18W;Inverter;1567.3;18000;6.48;5;2377.230689; Rp3,432,721.12 ;CSPF;;;;
6;ACERPURE;SACD 535-12W / OACD 535-12W ;Inverter;1440.6;32;4.51;4;6.072216749; Rp8,768.28 ;CSPF;;;;
7;ACERPURE;SACD 325-05W / OACD 325-05W;Non-Inverter;419.4;5015.8;3.54;2;1212.581053; Rp1,750,967.04 ;CSPF;;;;
8;ACERPURE;SACD 325-09W / OACD 325-09W ;Non-Inverter;785.6;9008.1;3.62;2;2129.602054; Rp3,075,145.37 ;CSPF;;;;
9;Aicool;AI/AO-WMF05SPCA;Non-Inverter;406.9;5002;12.29;4;1188.148; Rp1,715,685.71 ;EER;;;;
10;Aicool;AI/AO-WMF09SPCA;Non-Inverter;788.2;9174;11.64;4;2301.544; Rp3,323,429.54 ;EER;;;;
11;Aicool;AI/AO-WMF12SPCA;Non-Inverter;1002.1;11851;11.83;4;2926.132; Rp4,225,334.61 ;EER;;;;
12;AIWA;AER-S2A05ADC;Non-Inverter;487.1;6089.99;3.89;3;1339.802572; Rp1,934,674.91 ;CSPF;;;;
13;AIWA;AER-C2N20SDC;Inverter;1757.1;16829.02;4.77;4;3019.355684; Rp4,359,949.61 ;CSPF;;;;
14;AIWA;AER-C2N15SDC;Inverter;1149.6;10903.5;4.14;3;2253.924767; Rp3,254,667.36 ;CSPF;;;;
15;AIWA;AER-C2N10SDC;Inverter;861.8;8204.15;4.33;4;1621.509602; Rp2,341,459.87 ;CSPF;;;;
16;AIWA;AER-K2E20ADC, AER-S2A20ADC;Non-Inverter;1653.8;18610.84;3.5;2;4550.632457; Rp6,571,113.27 ;CSPF;;;;
17;Akari;Family 1;Non-Inverter;409;5210;12.7;4;1194.28; Rp1,724,540.32 ;EER;;;;
18;Akari;Family 2;Non-Inverter;753.5;7142;9.49;2;2200.22; Rp3,177,117.68 ;EER;;;;
19;Akari;AC-91200GLWi/k;Non-Inverter;1099.5;9550.01;8.7;1;3210.54; Rp4,636,019.76 ;EER;;;;
20;Akari;AC-91800GLWi/k;Non-Inverter;1540.8;14753.25;9.58;2;4499.136; Rp6,496,752.38 ;EER;;;;
21;Akari;AC-0909GLWi/k;Non-Inverter;749.93;7810.07;10.41;4;2189.7956; Rp3,162,064.85 ;EER;;;;
