No;Merek;Model;Tipe;Adjusted Volume (liter)*;Daya (watt);Rating Bintang (1-5);"Konsumsi Energi Tahunan &lt;br&gt;(kWh)*";Biaya Listrik Tahunan (Rp)
1;ELECTROLUX;ETB2502J-A;Dua Pintu;273,71;28,3;2;295,7;427190,57
2;ELECTROLUX;ETB2802J-A;Dua Pintu;304,71;30,51;2;317,76;459072,21
3;SANKEN;SK-V198;Satu Pintu;197,14;43,38;1;416,22;601308,7
4;SANKEN;SK-V161, SK-V163, SK-V165, SK-V167, SK-V168;Satu Pintu;167,14;42,42;1;395,37;571188,15
5;SANKEN;SK-V171, SK-V173, SK-V175, SK-V177, SK-V178;Satu Pintu;172,86;30,52;2;285,65;412678,56
6;SANKEN;SK-V191, SK-G192, SK-G196, SK-G199;Satu Pintu;193,86;33,33;2;314,3;454070,65
7;LG;GV-B212PLGB, GV-B212PQGB, GV-B212PQMB;Dua Pintu;261;34,75;2;355,68;513853,79
8;LG;GV-B242PLGB, GV-B242PXGB, GV-B242PQFB, GV-B242PFFB;Dua Pintu;288,57;31,57;2;337,27;487249,63
9;LG;GV-B262PLGB, GV-B262PQGB, GV-B262PQFB, GV-B262PFFB;Dua Pintu;311,57;33,76;2;377,1;544799,26
10;LG;GN-Y331SLS, GN-INV331BLS;Satu Pintu;204,29;31,33;2;280,48;405210,9
11;LG;"GN-Y201CLS, GN-B201CLS; GN-Y201CHS; GN-Y201CCU";Satu Pintu;173,29;24,83;3;233,05;336687,34
12;MODENA;RF 2250 TGSR, RF 2250 TGBK, RF 2250 TGDS, RF 2251 TGSR, RF 2251 TGBK, RF 2251 TGDS, RF 2252 TGSR, RF 2252 TGBK, RF 2252 TGDS;Dua Pintu;243,43;31,38;2;304,17;439440,18
13;MODENA;RF 2650 TGSR, RF 2650 TGBK, RF 2650 TGDS, RF 2651 TGSR, RF 2651 TGBK, RF 2651 TGDS, RF 2652 TGSR, RF 2652 TGBK, RF 2652 TGDS;Dua Pintu;293,43;38,25;2;361,35;522046,68
14;TOSHIBA;GR-B28IS;Dua Pintu;280,93;33,01;2;364,08;525990,71
15;TOSHIBA;GR-RD235CC-DMF;Satu Pintu;196,07;49,88;1;436,6;630756,02
16;TOSHIBA;GR-B22IS;Dua Pintu;227,93;35,2;1;353,31;510431,29
17;TOSHIBA;GR-B31IS;Dua Pintu;300,93;39,43;1;411,1;593917,61
18;TOSHIBA;GR-B28ISP;Dua Pintu;280,93;40,44;1;403,03;582251,66
19;TOSHIBA;GR-B22ISP;Dua Pintu;227,93;35,31;1;369,25;533449,7
20;TOSHIBA;GR-B25ISP;Dua Pintu;241,93;35,68;1;373,34;539359,96
